Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,Events_Cash,Total_Spend,SS_Income,Draw_Brokerage,Draw_Roth,Draw_IRA,Roth_Conversion,RMD,MAGI,Std_Deduction,End_Bal_Brokerage,End_Bal_Roth,End_Bal_IRA,Total_Assets,Shortfall
2025,58,56,GoGo,Joint,120000,10156,0,120000,0,0,0,120000,0,0,120000,31500,514800,122550,964600,1601950,0
2026,59,57,GoGo,Joint,124200,10528,0,124200,0,0,0,124200,0,0,124200,32602,535392,131741,890824,1557957,0
2027,60,58,GoGo,Joint,128547,10963,0,128547,0,0,0,128547,0,0,128547,33744,556808,141622,808014,1506443,0
2028,61,59,GoGo,Joint,133046,11693,0,133046,0,0,0,133046,0,0,133046,34925,579080,152243,715466,1446789,0
2029,62,60,GoGo,Joint,137703,11376,0,137703,32500,0,0,105203,0,0,132828,36147,602243,163662,646879,1412783,0
2030,63,61,Slow,Joint,118769,8693,0,118769,33638,0,0,85131,0,0,113723,37412,626333,175936,595452,1397722,0
2031,64,62,Slow,Joint,122926,8888,0,122926,41815,0,0,81111,0,0,116653,38722,651386,189132,545202,1385720,0
2032,65,63,Slow,Joint,127228,9215,0,127228,43278,0,0,83950,0,0,120736,40077,677442,203316,488928,1369686,0
2033,66,64,Slow,Joint,131681,9554,0,131681,44793,0,0,86888,0,0,124962,41479,704539,218565,426162,1349267,0
2034,67,65,Slow,Joint,136290,9905,0,136290,46361,0,0,89929,0,0,129336,42931,732721,234958,356407,1324086,0
2035,68,66,Slow,Joint,141060,10267,0,141060,47983,0,0,93076,0,0,133862,44434,762030,252579,279131,1293740,0
2036,69,67,Slow,Joint,145997,10643,0,145997,49663,0,0,96334,0,0,138548,45989,792511,271523,193764,1257798,0
2037,70,68,Slow,Joint,151107,11182,0,151107,51401,0,0,99706,0,0,143397,47599,824211,291887,99702,1215801,0
2038,71,69,Slow,Joint,156396,11151,0,156396,53200,3493,0,99702,0,0,144922,49265,853547,313779,0,1167325,0
2039,72,70,Slow,Joint,161869,0,0,161869,55062,106807,0,0,0,0,0,50989,776609,337312,0,1113921,0
2040,73,71,NoGo,Joint,142405,0,0,142405,56989,85415,0,0,0,0,0,52773,718841,362610,0,1081452,0
2041,74,72,NoGo,Joint,147389,0,0,147389,58984,88405,0,0,0,0,0,54621,655654,389806,0,1045460,0
2042,75,73,NoGo,Joint,152547,0,0,152547,61048,91499,0,0,0,0,0,56532,586721,419042,0,1005763,0
2043,76,74,NoGo,Survivor,110521,0,0,110521,52608,57913,0,0,0,0,1304,58511,549960,450470,0,1000430,0
2044,77,75,NoGo,Survivor,114389,0,0,114389,54449,59940,0,0,0,0,2224,60559,509621,484255,0,993876,0
2045,78,76,NoGo,Survivor,118392,0,0,118392,56355,62038,0,0,0,0,3177,62678,465487,520574,0,986061,0
2046,79,77,NoGo,Survivor,122536,0,0,122536,58327,64209,0,0,0,0,4163,64872,417328,559617,0,976946,0
2047,80,78,NoGo,Survivor,126825,0,0,126825,60368,66457,0,0,0,0,5184,67143,364907,601589,0,966495,0
2048,81,79,NoGo,Survivor,131264,0,0,131264,62481,68783,0,0,0,0,6241,69493,307969,646708,0,954677,0
2049,82,80,NoGo,Survivor,135858,0,0,135858,64668,71190,0,0,0,0,7334,71925,246250,695211,0,941461,0
2050,83,81,NoGo,Survivor,140613,0,0,140613,66932,73682,0,0,0,0,8466,74442,179472,747352,0,926823,0
2051,84,82,NoGo,Survivor,145535,0,0,145535,69274,76260,0,0,0,0,9542,77048,107340,803403,0,910743,0
2052,85,83,NoGo,Survivor,150628,0,0,150628,71699,78930,0,0,0,0,10572,79744,29547,863658,0,893205,0
2053,86,84,NoGo,Survivor,155900,0,0,155900,74208,29547,52145,0,0,0,11638,82535,0,872376,0,872376,0
2054,87,85,NoGo,Survivor,161357,0,0,161357,76805,0,84551,0,0,0,12742,85424,0,846912,0,846912,0
