Year,Age_You,Age_Spouse,Phase,Living,Spend_Target,Taxes,SS_Income,Draw_IRA,Draw_Brokerage,Draw_Roth,Roth_Conversion,RMD,MAGI,Shortfall,End_Bal_IRA,End_Bal_Brokerage,End_Bal_Roth,Total_Assets,View,Note,Scenario
2025.0,58.0,56.0,GoGo,Joint,120000.0,10156.0,0.0,120000.0,0.0,0.0,0.0,0.0,120000.0,0.0,964600.0,514800.0,122550.0,1601950.0,Start,,baseline_ira_first
2025.0,58.0,56.0,GoGo,Joint,120000.0,10156.0,0.0,120000.0,0.0,0.0,0.0,0.0,120000.0,0.0,964600.0,514800.0,122550.0,1601950.0,PreMedicare,,baseline_ira_first
2032.0,65.0,63.0,Slow,Joint,127228.0,9215.0,43278.0,83950.0,0.0,0.0,0.0,0.0,120736.0,0.0,488928.0,677442.0,203316.0,1369686.0,PostMedicare,,baseline_ira_first
,,,,,,,,,,,,,,,,,,,FirstRMD,N/A,baseline_ira_first
2025.0,58.0,56.0,GoGo,Joint,120000.0,1100.0,0.0,0.0,120000.0,0.0,42500.0,0.0,42500.0,0.0,1046750.0,390000.0,168238.0,1604988.0,Start,,alt_brokerage_first
2025.0,58.0,56.0,GoGo,Joint,120000.0,1100.0,0.0,0.0,120000.0,0.0,42500.0,0.0,42500.0,0.0,1046750.0,390000.0,168238.0,1604988.0,PreMedicare,,alt_brokerage_first
2032.0,65.0,63.0,Slow,Joint,127228.0,0.0,43278.0,0.0,0.0,83950.0,0.0,0.0,0.0,0.0,1199755.0,0.0,276805.0,1476561.0,PostMedicare,,alt_brokerage_first
2040.0,73.0,71.0,NoGo,Joint,142405.0,9266.0,56989.0,33536.0,0.0,0.0,0.0,51879.0,133856.0,0.0,1366738.0,0.0,0.0,1366738.0,FirstRMD,,alt_brokerage_first
2025.0,58.0,56.0,GoGo,Joint,30000.0,1100.0,0.0,0.0,30000.0,0.0,42500.0,0.0,42500.0,0.0,1046750.0,483600.0,168238.0,1698588.0,Start,,pre_medicare_magi_fill
2025.0,58.0,56.0,GoGo,Joint,30000.0,1100.0,0.0,0.0,30000.0,0.0,42500.0,0.0,42500.0,0.0,1046750.0,483600.0,168238.0,1698588.0,PreMedicare,,pre_medicare_magi_fill
2032.0,65.0,63.0,Slow,Joint,38168.0,0.0,43278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199755.0,509899.0,678212.0,2387867.0,PostMedicare,,pre_medicare_magi_fill
2040.0,73.0,71.0,NoGo,Joint,50260.0,7185.0,56989.0,0.0,0.0,0.0,0.0,68075.0,116516.0,0.0,1840068.0,768630.0,1209577.0,3818275.0,FirstRMD,,pre_medicare_magi_fill
2033.0,66.0,64.0,GoGo,Joint,120000.0,9350.0,44793.0,75207.0,0.0,0.0,0.0,0.0,113281.0,0.0,1012081.0,514800.0,122550.0,1649431.0,Start,,post_medicare
,,,,,,,,,,,,,,,,,,,PreMedicare,N/A,post_medicare
2033.0,66.0,64.0,GoGo,Joint,120000.0,9350.0,44793.0,75207.0,0.0,0.0,0.0,0.0,113281.0,0.0,1012081.0,514800.0,122550.0,1649431.0,PostMedicare,,post_medicare
2040.0,73.0,71.0,Slow,Joint,127228.0,8968.0,56989.0,37644.0,0.0,0.0,0.0,32595.0,118680.0,0.0,841136.0,677442.0,203316.0,1721894.0,FirstRMD,,post_medicare
2041.0,74.0,72.0,GoGo,Joint,20000.0,4683.0,58984.0,0.0,0.0,0.0,0.0,40392.0,74394.0,0.0,1048984.0,556808.0,122550.0,1728342.0,Start,,rmd_forced
,,,,,,,,,,,,,,,,,,,PreMedicare,N/A,rmd_forced
2041.0,74.0,72.0,GoGo,Joint,20000.0,4683.0,58984.0,0.0,0.0,0.0,0.0,40392.0,74394.0,0.0,1048984.0,556808.0,122550.0,1728342.0,PostMedicare,,rmd_forced
2041.0,74.0,72.0,GoGo,Joint,20000.0,4683.0,58984.0,0.0,0.0,0.0,0.0,40392.0,74394.0,0.0,1048984.0,556808.0,122550.0,1728342.0,FirstRMD,,rmd_forced
2025.0,58.0,56.0,GoGo,Joint,170000.0,20576.0,0.0,170000.0,0.0,0.0,0.0,0.0,170000.0,0.0,911600.0,514800.0,122550.0,1548950.0,Start,,large_event
2025.0,58.0,56.0,GoGo,Joint,170000.0,20576.0,0.0,170000.0,0.0,0.0,0.0,0.0,170000.0,0.0,911600.0,514800.0,122550.0,1548950.0,PreMedicare,,large_event
2032.0,65.0,63.0,Slow,Joint,127228.0,9215.0,43278.0,83950.0,0.0,0.0,0.0,0.0,120736.0,0.0,108823.0,677442.0,203316.0,989581.0,PostMedicare,,large_event
,,,,,,,,,,,,,,,,,,,FirstRMD,N/A,large_event
